videoId,background_color_simplicity
aircAruvnKk,0.0003234070616883117
_QdPW8JrYzQ,0.0029255495233050845
OWJCfOvochA,0.07984233106303419
ZS_kXvOeQ5Y,0.0017941497093023255
x7qPAY9JqE4,0.0025916466346153845
9AThycGCakk,0.09094388985339506
-ruC5A9EzzE,0.14305190284653466
Lj1a8rdX6DU,0.059102042776639344
Zh3Yz3PiXZw,0.14949396306818183
bNpx7gpSqbY,0.0024655189043209878
kUr_gdKQ8j4,0.1445097870879121
h0e2HAPTGF4,0.018814998990306947
0hVuCWfyHP4,0.049539162294708027
QHydkEARVKE,0.04094454608386076
nKW8Ndu7Mjw,0.00061798095703125
BR9h47Jtqyw,0.0006707763671875
w82a1FT5o88,0.05158276827830189
pvf0zSh3rDo,0.15688337550044484
MfF750YVDxM,0.0010872395833333333
OoEpfb6yga8,0.01732671828497024
e8QY0NDWqzk,0.03977723052536232
EtJy69cEOtQ,0.08049403599330357
rmf04ylI2K0,0.0016020825628698225
XZmGGAbHqa0,0.22404341264204544
QxuibIaQmsw,0.015013583251527051
uAWWhEA57bE,0.0021259323559670784
4DgTLaFNQq0,0.2439056396484375
YFl2mCHdv24,0.04180908203125
dspdToaROn8,0.0013151041666666667
FHVuRxJpiwI,0.016926244362113402
bcjSe0xCHbE,0.11332715678418803
9s-vSeWej1U,0.003681383634868421
1z0ULvg_pW8,0.001083545470505618
BgQFJ_UNIgw,0.0015689625459558824
2-Ol7ZB0MmU,0.000860184585492228
711VklH-4fA,0.016457168044747082
d4EgbgTm0Bg,0.005867661757506528
yuD34tEpRFw,0.012939453125
wCrtk-pyP0I,0.06918701171875
AD3K8j12EIE,0.0032037698997641507
kqSzLo9fenk,0.0004133040529822335
aDW44NPhNw0,0.000927461592178771
qWcfiPi9gUU,0.15331120277518656
FTr3n7uBIuE,0.003274044981916817
TnUYcTuZJpM,0.052635239109848485
trWrEWfhTVg,0.1070990444214876
IpGxLWOIZy4,0.01850730710916442
0JDoll8OEFE,0.10918566645408163
liJbB_0eCTo,0.0686743465470679
lfo8XHGFAIQ,0.09952852323457792
G7oolm0jU8I,0.0020577566964285715
63NTeLmDANo,0.16579656731592465
kJzSzGbfc0k,0.21329380580357143
XKu_SEDAykw,0.009295928849480968
5F28PzoeDn4,0.06919722123579546
SAsWFgpvYhA,0.0954833984375
t6rHHnABoT8,0.04776198572392086
3FxdPlqTVXw,0.136016845703125
c8_BIamLESg,0.050386868990384616
rojft7g2BSI,0.001495934727296451
E39GIysMevQ,0.054731889204545456
-Yh2QGJBd2U,0.1254736328125
TRzBk_KuIaM,0.0015467593544407894
ssdyoPpDEys,0.2123902874228395
I1hFKCFT8bQ,0.1180419921875
ZPw9dSV6y2c,0.2520975092405914
78-1MlkxyqI,0.00811767578125
_4ruHJFsb4g,0.1225817228618421
R0bVxbRCd-U,0.047736273871527776
j6B-HYsvkvo,0.029052734375
MTY1Kje0yLg,0.03952840169270833
mV_Z3Zx0xIs,0.0865478515625
P4Rzd21U-1c,0.05988969143081761
bjMqJ--aUJ8,0.04975868999094203
ZZZ7k8cMA-4,0.022390782147988505
